company_id,year,cfo,cfi,cff,cfo_sign,cfi_sign,cff_sign,pattern_code,pattern_label
ABB,2012-12,101.0,-59.0,-42.0,+,-,-,"(+,-,-)",Reinvestor
ABB,2014-03,0.0,0.0,0.0,0,0,0,"(0,0,0)",Mixed
ABB,2015-03,-35.0,-1864.0,1902.0,-,-,+,"(-,-,+)",Mixed
ABB,2016-03,1544.0,-816.0,-722.0,+,-,-,"(+,-,-)",Reinvestor
ABB,2017-03,2189.0,-1730.0,-455.0,+,-,-,"(+,-,-)",Reinvestor
ABB,2018-03,2198.0,-3192.0,1589.0,+,-,+,"(+,-,+)",Shareholder Returns
ABB,2019-03,2591.0,-3050.0,38.0,+,-,+,"(+,-,+)",Shareholder Returns
ABB,2020-03,5437.0,-5643.0,1250.0,+,-,+,"(+,-,+)",Shareholder Returns
ABB,2021-03,3784.0,-4009.0,-745.0,+,-,-,"(+,-,-)",Reinvestor
ABB,2022-03,4097.0,-3936.0,-235.0,+,-,-,"(+,-,-)",Reinvestor
ABB,2023-03,3777.0,-4699.0,923.0,+,-,+,"(+,-,+)",Shareholder Returns
ABB,2024-03,6038.0,-4943.0,-543.0,+,-,-,"(+,-,-)",Reinvestor
ADANIENSOL,2014-03,0.0,0.0,0.0,0,0,0,"(0,0,0)",Mixed
ADANIENSOL,2015-03,-35.0,-1864.0,1902.0,-,-,+,"(-,-,+)",Mixed
ADANIENSOL,2016-03,1544.0,-816.0,-722.0,+,-,-,"(+,-,-)",Reinvestor
ADANIENSOL,2017-03,2189.0,-1730.0,-455.0,+,-,-,"(+,-,-)",Reinvestor
ADANIENSOL,2018-03,2198.0,-3192.0,1589.0,+,-,+,"(+,-,+)",Shareholder Returns
ADANIENSOL,2019-03,2591.0,-3050.0,38.0,+,-,+,"(+,-,+)",Shareholder Returns
ADANIENSOL,2020-03,5437.0,-5643.0,1250.0,+,-,+,"(+,-,+)",Shareholder Returns
ADANIENSOL,2021-03,3784.0,-4009.0,-745.0,+,-,-,"(+,-,-)",Reinvestor
