table,rows_in,rows_out,rejected,rejected_by_cleaning,runtime_s,timestamp,critical_findings_raw,critical_remaining_after_cleaning
companies,92,92,0,0,0.0038,2026-08-13T09:48:04.825333+00:00,786,0
profitandloss,1276,1070,206,206,0.0065,2026-08-13T09:48:04.825333+00:00,786,0
balancesheet,1312,1140,172,172,0.0057,2026-08-13T09:48:04.825333+00:00,786,0
cashflow,1187,1056,131,131,0.0122,2026-08-13T09:48:04.825333+00:00,786,0
analysis,20,16,4,4,0.0023,2026-08-13T09:48:04.825333+00:00,786,0
documents,1585,1457,128,128,0.0054,2026-08-13T09:48:04.825333+00:00,786,0
prosandcons,16,14,2,2,0.002,2026-08-13T09:48:04.825333+00:00,786,0
sectors,92,92,0,0,0.0023,2026-08-13T09:48:04.825333+00:00,786,0
stock_prices,5520,5520,0,0,0.014,2026-08-13T09:48:04.825333+00:00,786,0
market_cap,552,552,0,0,0.0039,2026-08-13T09:48:04.825333+00:00,786,0
financial_ratios,1184,1041,143,143,0.0059,2026-08-13T09:48:04.825333+00:00,786,0
peer_groups,56,56,0,0,0.0022,2026-08-13T09:48:04.825333+00:00,786,0
