company_id,from_year,from_pattern,to_year,to_pattern
ABB,2012,Reinvestor,2014,Mixed
ABB,2015,Mixed,2016,Reinvestor
ABB,2017,Reinvestor,2018,Shareholder Returns
ABB,2020,Shareholder Returns,2021,Reinvestor
ABB,2022,Reinvestor,2023,Shareholder Returns
ABB,2023,Shareholder Returns,2024,Reinvestor
ADANIENSOL,2015,Mixed,2016,Reinvestor
ADANIENSOL,2017,Reinvestor,2018,Shareholder Returns
ADANIENSOL,2020,Shareholder Returns,2021,Reinvestor
ADANIENSOL,2022,Reinvestor,2023,Shareholder Returns
ADANIENSOL,2023,Shareholder Returns,2024,Reinvestor
ADANIENT,2013,Shareholder Returns,2014,Reinvestor
ADANIENT,2014,Reinvestor,2015,Shareholder Returns
ADANIENT,2015,Shareholder Returns,2016,Reinvestor
ADANIENT,2016,Reinvestor,2017,Shareholder Returns
ADANIENT,2018,Shareholder Returns,2019,Liquidating Assets
ADANIENT,2019,Liquidating Assets,2020,Reinvestor
ADANIENT,2020,Reinvestor,2021,Shareholder Returns
ADANIENT,2022,Shareholder Returns,2023,Reinvestor
ADANIENT,2023,Reinvestor,2024,Shareholder Returns
ADANIGREEN,2022,Shareholder Returns,2023,Reinvestor
ADANIGREEN,2023,Reinvestor,2024,Shareholder Returns
ADANIPORTS,2014,Shareholder Returns,2015,Reinvestor
ADANIPORTS,2015,Reinvestor,2016,Shareholder Returns
ADANIPORTS,2016,Shareholder Returns,2017,Reinvestor
ADANIPORTS,2018,Reinvestor,2019,Shareholder Returns
ADANIPORTS,2019,Shareholder Returns,2020,Reinvestor
ADANIPORTS,2020,Reinvestor,2021,Shareholder Returns
ADANIPORTS,2021,Shareholder Returns,2022,Reinvestor
ADANIPOWER,2014,Shareholder Returns,2015,Reinvestor
ADANIPOWER,2021,Reinvestor,2022,Liquidating Assets
AMBUJACEM,2021,Reinvestor,2023,Shareholder Returns
APOLLOHOSP,2013,Shareholder Returns,2014,Reinvestor
APOLLOHOSP,2014,Reinvestor,2015,Shareholder Returns
APOLLOHOSP,2017,Shareholder Returns,2018,Reinvestor
AXISBANK,2014,Shareholder Returns,2015,Mixed
AXISBANK,2015,Mixed,2016,Distress Signal
AXISBANK,2016,Distress Signal,2017,Reinvestor
AXISBANK,2017,Reinvestor,2018,Mixed
AXISBANK,2018,Mixed,2019,Shareholder Returns
AXISBANK,2023,Shareholder Returns,2024,Mixed
BAJAJ-AUTO,2019,Reinvestor,2020,Liquidating Assets
BAJAJ-AUTO,2020,Liquidating Assets,2021,Reinvestor
BAJAJ-AUTO,2021,Reinvestor,2022,Liquidating Assets
BAJAJ-AUTO,2023,Liquidating Assets,2024,Reinvestor
BAJAJFINSV,2015,Distress Signal,2016,Mixed
BAJAJFINSV,2016,Mixed,2017,Distress Signal
BAJAJFINSV,2017,Distress Signal,2018,Mixed
BAJAJFINSV,2020,Mixed,2021,Shareholder Returns
BAJAJFINSV,2021,Shareholder Returns,2022,Distress Signal
BAJAJFINSV,2022,Distress Signal,2023,Mixed
BAJAJHLDNG,2015,Reinvestor,2016,Liquidating Assets
BAJAJHLDNG,2016,Liquidating Assets,2017,Mixed
BAJAJHLDNG,2017,Mixed,2018,Reinvestor
