CAGR | ABB | 2012-12 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2012-12 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2012-12 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2012-12 | pat_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2012-12 | pat_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2012-12 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2012-12 | eps_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2012-12 | eps_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2012-12 | eps_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2014-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2014-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2014-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2014-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2014-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2014-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2014-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2014-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2014-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2015-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2015-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2015-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2015-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2015-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2015-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2016-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2016-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2016-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2016-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2016-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2016-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2016-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2016-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2016-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2017-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2017-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2017-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2018-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2018-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2018-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2018-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2018-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2018-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2019-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2019-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2019-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2020-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2020-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2020-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2021-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2021-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2021-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2023-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2023-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2023-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2024-09 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2024-09 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2024-09 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2024-09 | pat_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2024-09 | pat_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2024-09 | pat_cagr_10yr | INSUFFICIENT
CAGR | ABB | 2024-09 | eps_cagr_3yr | INSUFFICIENT
CAGR | ABB | 2024-09 | eps_cagr_5yr | INSUFFICIENT
CAGR | ABB | 2024-09 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2014-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2014-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2014-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2014-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2014-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2014-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2014-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2014-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2014-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2015-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2015-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2015-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2015-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2015-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2015-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2015-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2015-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2015-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2016-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2016-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2016-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2016-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2016-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2016-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2016-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIENSOL | 2016-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2016-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2017-03 | revenue_cagr_3yr | ZERO_BASE
CAGR | ADANIENSOL | 2017-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2017-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2017-03 | pat_cagr_3yr | ZERO_BASE
CAGR | ADANIENSOL | 2017-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2017-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2017-03 | eps_cagr_3yr | ZERO_BASE
CAGR | ADANIENSOL | 2017-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2017-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2018-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2018-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2018-03 | pat_cagr_3yr | TURNAROUND
CAGR | ADANIENSOL | 2018-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2018-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2018-03 | eps_cagr_3yr | ZERO_BASE
CAGR | ADANIENSOL | 2018-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIENSOL | 2018-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2019-03 | revenue_cagr_5yr | ZERO_BASE
CAGR | ADANIENSOL | 2019-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIENSOL | 2019-03 | pat_cagr_5yr | ZERO_BASE
