company_id,company_name,year,market_cap_crore,enterprise_value_crore,fcf_cr,fcf_yield_pct,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,pe_5yr_median,sector_median_pe,broad_sector,valuation_flag
ABB,Abbott India Ltd,2024,1536236.24,1619349.16,,,75.58,4.48,12.63,0.96,62.63,47.155,Industrials,Caution
ADANIENSOL,Adani Energy Solutions Ltd,2024,348517.36,439276.19,,,58.5,9.05,14.83,1.65,58.5,44.915,Energy,Caution
ADANIENT,Adani Enterprises Ltd,2024,187927.97,191237.75,,,58.87,10.41,33.01,0.83,58.87,47.155,Industrials,Caution
ADANIGREEN,Adani Green Energy Ltd,2024,510512.78,491878.9,,,45.26,6.24,21.78,0.89,37.61,44.915,Energy,Fair
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",2024,675598.01,611165.74,,,48.9,2.31,31.76,1.16,48.9,47.155,Industrials,Fair
ADANIPOWER,Adani Power Ltd,2024,1372183.55,1357949.64,,,44.57,9.91,24.76,1.65,52.23,44.915,Energy,Fair
AMBUJACEM,Ambuja Cements Ltd,2024,1281411.04,1198290.68,,,55.62,9.21,27.67,3.1,55.62,55.62,Materials,Fair
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",2024,1905622.43,2433382.94,,,47.72,7.68,16.74,3.22,28.39,47.06,Healthcare,Fair
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",2024,2126725.18,2475080.63,,,73.37,3.9,23.94,2.42,49.2,55.62,Materials,Caution
ATGL,Adani Total Gas Ltd,2024,1535602.41,1925338.89,,,56.96,5.76,28.93,0.51,35.59,44.915,Energy,Caution
AXISBANK,Axis Bank Ltd,2024,948868.63,929130.29,-14556.0,-1.5340374357196316,38.14,4.66,16.87,2.32,56.88,34.24,Financials,Fair
BAJAJ-AUTO,Bajaj Auto Ltd,2024,653817.3,679803.97,,,29.91,9.83,20.14,3.59,49.72,38.005,Consumer Discretionary,Fair
BAJAJFINSV,Bajaj Finserv Ltd,2024,1905112.17,1807796.2,,,15.07,6.08,39.72,2.56,51.06,34.24,Financials,Discount
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,2024,2191568.13,2726439.01,,,37.73,9.38,27.47,3.37,37.73,34.24,Financials,Fair
BAJFINANCE,Bajaj Finance Ltd,2024,2473271.58,2632574.41,,,69.2,4.11,15.96,0.27,46.9,34.24,Financials,Caution
BANKBARODA,Bank of Baroda,2024,590971.02,656699.32,-7559.0,-1.279081332956056,16.89,4.15,24.7,2.62,67.24,34.24,Financials,Discount
BEL,Bharat Electronics Ltd,2024,1354781.06,1259877.04,,,17.89,9.22,23.14,0.76,52.67,47.155,Industrials,Discount
BHARTIARTL,Bharti Airtel Ltd,2024,378605.83,429972.49,,,63.78,6.28,39.71,1.02,63.78,48.33,Communication Services,Caution
BHEL,"Bharat Heavy Electricals Limited
",2024,540053.85,682460.17,,,29.8,11.43,21.59,4.04,31.13,47.155,Industrials,Discount
BOSCHLTD,Bosch Ltd,2024,2599556.05,2628370.51,,,58.43,6.47,16.07,4.23,31.28,38.005,Consumer Discretionary,Caution
BPCL,Bharat Petroleum Corporation Ltd,2024,468662.13,606487.07,,,68.15,0.72,26.59,1.15,35.8,44.915,Energy,Caution
BRITANNIA,Britannia Industries Ltd,2024,324745.74,376568.58,,,63.91,4.26,33.95,1.88,33.6,50.95,Consumer Staples,Caution
CANBK,Canara Bank,2024,496415.88,483983.21,13296.0,2.6783994097851984,36.74,12.61,25.23,3.81,36.74,34.24,Financials,Fair
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,2024,971931.96,1024979.49,,,16.79,10.36,13.52,2.83,33.3,34.24,Financials,Discount
CIPLA,"Cipla Ltd
",2024,439803.15,562931.78,,,59.75,5.93,33.7,0.12,41.07,47.06,Healthcare,Caution
COALINDIA,Coal India Ltd,2024,454024.84,574785.39,,,34.27,14.75,25.15,4.38,32.17,55.62,Materials,Discount
DABUR,Dabur India Ltd,2024,56521.84,67755.32,,,50.95,13.59,12.02,3.42,50.95,50.95,Consumer Staples,Fair
DIVISLAB,Divis Laboratories Ltd,2024,1615028.67,1501836.03,,,69.95,12.34,31.81,1.39,30.35,47.06,Healthcare,Caution
DLF,DLF Ltd,2024,1381712.03,1248409.43,,,46.26,14.32,10.41,2.58,46.26,49.105000000000004,Real Estate,Fair
